昵称,学历,城市,经验,薪资,备注
不负*,专,杭州,5年,21k,antd 核心成员  ahooks 核心成员
更好*,专,深圳,3年,13k,
HH*,专,济南,4年,16k,
换*,本,上海,26应届,,小厂实习
半勺*,专,北京,4年,21k,
晓千*,专,上海,0.5年,16k,
Chen*,本,珠海,2.5年,12k,
半*,本,合肥,4.5年,15k,
Apric*,专,郑州,4.5年,10k,
Jerry*,本科,武汉,4.5年,15k,
无趣*,本,北京,0.5年,26k,广告行业 
Map*,本,北京,26应届,,
叫*,本,杭州,0.5年,10k,
夏*,专,深圳,4年,7.5k,专升本
dark*,本,北京,6年,？？,
forge*,硕,长沙,2.5年,40w/年,
走南*,本,广州,1.5年,8k,
湘*,本,北京,3年,16k,大厂外包
我爱*,本,北京,9年,26k,
zhy2*,本,长春,26应届,,
汤姆*,专,北京,4年,15k,专升本，大厂外包
赶快*,本,北京,4年,18k,大厂外包
Rena*,本,杭州,3.5年,28.1k,阿里  
balan*,本,杭州,4年,30k,
喷香*,硕,济南,28应届,,
用户8*,本,南京,2.5年,15k,
想打*,本,北京,8年,20k*16,被裁，直播带货3~4个月
啊吧*,本,北京,3年,15k,
7年*,专,南京,3.5年,12.8k,电网外包
ray*,专,成都,3年,15k,腾讯项目外包
林一*,本,杭州,4年,22k,在读复旦大学非全日制硕士
只想*,本,北京,3.5年,15k,
~~,本,重庆,10年,10k,1家公司待10年
Rem*,专,广州,0.5年,6k,被裁
Frog*,本,苏州,3年,12k,
青江*,专,成都,1年,6k,专升本
班主任*,专,上海,3年,12k,
爱吃*,本,上海,4年,20k,
不玩*,本,广州,0.5年,7k,
St.*,硕,加拿大,23年毕业,,
望*,本,临沂,27应届,,
兮*,专,合肥,3.5年,12k,
leo*,专,深圳,5年,16k,
Krazy*,本,成都,5年,15k,webgis，央企子公司
宇*,专,北京,3年,13k,
Dream*,硕,杭州,1.5年,13.5k,
麦抱*,本,26应届,,,
泞*,本,广州,3年,11k,
？*,高,北京,1.5年,15k,
临江*,本,上海,4.5年,14k,
空*,初,广州,0年,,之前是UI设计，25岁
I Mis*,专,宁波,3年,14.5k,外包
肆虐*,本,广州,27应届,,211
Janni*,本,上海,0.5年,10k,
董东*,高,成都,10+年,35k,失业，自考本
张超*,本,北京,1.5年,10k,
苏婆*,本,深圳,2.5年,24k,学员
微笑*,本,广州,6年,17k,
倾*,硕,成都,26应届,,
周生*,本,北京,26应届,,
xh36*,专,杭州,2.5年,8.5k,
江*,专,广州,0.5年,9.5k,
秋*,本,重庆,27应届,,
vout*,本,北京,3年,12k,外包
frank*,专,深圳,6年,23.5k,外包，自考本
借*,专,长沙,1.5年,6k,java几个月
F_*,本,成都,1年,15k,
G | *,本,南京,2年,9.5k,
种花*,专,上海,7年,23k,
土里*,本,北京,27应届,,
用户1*,本,广东/湛江,26应届,,
斐波*,本,郑州,7年,13k,上海 24k
天w*,本,杭州,26应届,,
失败*,本,杭州,2年,10k,
悍匪*,专,杭州,5年,9k,
帅气*,本,广州,5年,23k,
