昵称,学历,城市,经验(年),薪资(k),毕业年份,备注
HH*,大专,济南,4.0,16.0,,
换*,本科,上海,0.0,,2026,小厂实习
半勺*,大专,北京,4.0,21.0,,
晓千*,大专,上海,0.5,16.0,,
Chen*,本科,珠海,2.5,12.0,,
半*,本科,合肥,4.5,15.0,,
Apric*,大专,郑州,4.5,10.0,,
Jerry*,本科,武汉,4.5,15.0,,
无趣*,本科,北京,0.5,26.0,,广告行业 
Map*,本科,北京,0.0,,2026,
叫*,本科,杭州,0.5,10.0,,
夏*,大专,深圳,4.0,7.5,,专升本
dark*,本科,北京,6.0,,,
forge*,硕士,长沙,2.5,33.3,,
走南*,本科,广州,1.5,8.0,,
湘*,本科,北京,3.0,16.0,,大厂外包
我爱*,本科,北京,9.0,26.0,,
zhy2*,本科,长春,0.0,,2026,
汤姆*,大专,北京,4.0,15.0,,专升本，大厂外包
赶快*,本科,北京,4.0,18.0,,大厂外包
Rena*,本科,杭州,3.5,28.1,,阿里  
balan*,本科,杭州,4.0,30.0,,
喷香*,硕士,济南,0.0,,2028,
用户8*,本科,南京,2.5,15.0,,
想打*,本科,北京,8.0,20.0,,被裁，直播带货3~4个月
啊吧*,本科,北京,3.0,15.0,,
7年*,大专,南京,3.5,12.8,,电网外包
ray*,大专,成都,3.0,15.0,,腾讯项目外包
林一*,本科,杭州,4.0,22.0,,在读复旦大学非全日制硕士
只想*,本科,北京,3.5,15.0,,
~~,本科,重庆,10.0,10.0,,1家公司待10年
Rem*,大专,广州,0.5,6.0,,被裁
Frog*,本科,苏州,3.0,12.0,,
青江*,大专,成都,1.0,6.0,,专升本
班主任*,大专,上海,3.0,12.0,,
爱吃*,本科,上海,4.0,20.0,,
不玩*,本科,广州,0.5,7.0,,
St.*,硕士,加拿大,0.0,,,
望*,本科,临沂,0.0,,2027,
兮*,大专,合肥,3.5,12.0,,
leo*,大专,深圳,5.0,16.0,,
Krazy*,本科,成都,5.0,15.0,,webgis，央企子公司
宇*,大专,北京,3.0,13.0,,
Dream*,硕士,杭州,1.5,13.5,,
麦抱*,本科,,,,2026,
泞*,本科,广州,3.0,11.0,,
？*,高中,北京,1.5,15.0,,
临江*,本科,上海,4.5,14.0,,
空*,初中,广州,0.0,,,之前是UI设计，25岁
I Mis*,大专,宁波,3.0,14.5,,外包
肆虐*,本科,广州,0.0,,2027,211
Janni*,本科,上海,0.5,10.0,,
董东*,高中,成都,10.0,35.0,,失业，自考本
张超*,本科,北京,1.5,10.0,,
苏婆*,本科,深圳,2.5,24.0,,学员
微笑*,本科,广州,6.0,17.0,,
倾*,硕士,成都,0.0,,2026,
周生*,本科,北京,0.0,,2026,
xh36*,大专,杭州,2.5,8.5,,
江*,大专,广州,0.5,9.5,,
秋*,本科,重庆,0.0,,2027,
vout*,本科,北京,3.0,12.0,,外包
frank*,大专,深圳,6.0,23.5,,外包，自考本
借*,大专,长沙,1.5,6.0,,java几个月
F_*,本科,成都,1.0,15.0,,
G | *,本科,南京,2.0,9.5,,
种花*,大专,上海,7.0,23.0,,
土里*,本科,北京,0.0,,2027,
用户1*,本科,湛江,0.0,,2026,
斐波*,本科,郑州,7.0,13.0,,上海 24k
天w*,本科,杭州,0.0,,2026,
失败*,本科,杭州,2.0,10.0,,
悍匪*,大专,杭州,5.0,9.0,,
帅气*,本科,广州,5.0,23.0,,
Dam*,本科,上海,10.0,30.0,,
hk*,本科,长沙,2.5,15.0,,
爱唱*,大专,湖北,0.0,,2027,专升本，本大三
奇*,本科,杭州,8.0,23.0,,
Almu*,本科,合肥,3.5,20.8,,
LJH*,本科,上海,6.0,16.7,,
mom*,大专,绍兴,2.5,6.0,,专升本
fearl*,大专,成都,2.0,9.5,,
刺猬*,大专,深圳,3.5,14.0,,
执*,中专,上海,7.0,13.0,,gap1年 24.9~25.9
Gordon*,本科,广州,6.0,14.0,,
IT*,本科,重庆,8.0,22.0,,离职状态
头号*,大专,广州,5.0,8.0,,
来去*,硕士,上海,0.0,,2026,小厂、中厂实习
Summe*,本科,西安,4.5,11.0,,
莫须*,本科,成都,7.0,15.0,,
Clun*,本科,上海,11.0,23.0,,
壹万*,大专,北京,1.0,12.0,,
war*,本科,深圳,0.5,13.0,,
Sop*,本科,深圳,1.0,11.5,,
.*,本科,广州,3.5,17.0,,
星*,大专,北京,10.0,18.0,,
hnld*,硕士,南京,7.0,26.0,,
旧时*,初中,深圳,8.0,20.0,,自考专
下饭*,硕士,北京,0.0,28.0,2026,
用户57*,大专,深圳,0.0,,2026,专升本
远*,大专,深圳,4.0,8.0,,待业
实在*,本科,苏州,5.0,11.0,,
手机*,本科,北京,7.0,25.0,,
杨*,本科,杭州,4.0,15.0,,军工外包
蒜泥*,大专,深圳,4.0,11.5,,
用户5*,大专,苏州,4.0,20.0,,电网，专升本
子非*,大专,苏州,4.0,13.0,,专升本
不一*,大专,包头,4.0,6.0,,
志明*,大专,成都,7.0,16.5,,专升本
随心*,大专,珠海,8.0,15.0,,银行外包
Aab*,本科,广州,3.5,20.0,,
2019*,本科,大连,8.0,17.0,,
夜航*,大专,深圳,0.0,8.0,,转行
ward*,本科,深圳,0.5,13.0,,
wezi*,本科,长沙,3.0,7.0,,离职
116*,本科,厦门,10.0,28.0,,
蓝*,本科,沈阳,0.0,,2026,
心*,本科,上海,4.0,15.0,,
无*,本科,北京,1.0,18.0,,
Big*,本科,成都,5.0,10.0,,
守*,初中,成都,12.0,120.0,,
As*,本科,上海,4.5,20.0,,
林*,本科,杭州,4.5,22.0,,非全读研
Blu*,硕士,沈阳,1.0,8.0,,Unity 3D
唐*,本科,天津,4.0,13.0,,离职
神也*,硕士,西安,0.0,,2027,
仰望*,硕士,北京,0.5,28.0,,某大厂，移动端，RN
休*,本科,北京,10.0,60.0,,"去年大厂离职
gap：7个月"
不吃*,本科,鹤岗,0.2,2.0,,php没问题，学前端，剪辑
不悔*,本科,武汉,3.0,10.0,,
Riv*,本科,上海,3.5,14.0,,入职10k
解*,本科,上海,0.0,,2026,
再度*,硕士,西安,2.5,20.0,,制造业
海诺*,本科,广州,3.0,10.0,,离职
一岁*,大专,北京,9.0,26.0,,离职
Imm*,本科,杭州,0.0,,,毕业1年无工作
呼噜*,大专,深圳,3.0,7.0,,专升本
优秀*,大专,成都,3.5,11.0,,准备离职
好奇*,本科,武汉,0.0,19.5,2026,
怪*,大专,长沙,6.0,12.0,,
果*,本科,北京,5.0,16.0,,
皮皮*,本科,,0.0,,2026,
弯*,大专,北京,7.0,25.0,,被裁
mE*,大专,成都,7.0,15.0,,
三七*,本科,成都,9.0,23.0,,
Cod*,本科,北京,4.0,23.0,,
够*,本科,杭州,5.0,35.0,,
骑猪*,大专,佛山,1.5,8.0,,
拉拉*,,苏州,4.0,9.0,,
序言*,本科,杭州,0.5,8.5,,
no*,大专,成都,3.0,13.0,,全栈
lang*,大专,青岛,0.0,,2026,
松林*,大专,黔东南,9.0,3.0,,
蛋蛋*,本科,杭州,4.0,17.0,,
流光*,大专,北京,5.0,18.0,,
小鹏*,本科,南京,3.0,14.0,,
青青*,本科,重庆,4.0,9.0,,
吴*,本科,上海,10.0,50.0,,大厂
aha*,硕士,,,,2027,
kai*,大专,武汉,1.0,4.0,,远程 兼职
温水*,中专,成都,6.0,9.0,,
社会*,高中,无锡,4.0,13.0,,
TON*,本科,,,,2026,
救*,本科,,,,2027,
S*,大专,天津,2.5,9.0,,
北风*,本科,湖州,0.0,,2026,
是小*,大专,长沙,7.0,13.0,,
暂未*,本科,徐州,3.0,8.5,,
欣*,大专,深圳,4.0,16.7,,自由职业
蓝色*,大专,深圳,0.5,15.0,,大厂外包
辣椒*,本科,长沙,3.5,11.0,,
C*,大专,郑州,0.0,,2026,
星空*,大专,广州,1.5,3.0,,
小张*,大专,南京,4.0,13.0,,专升本
一只*,本科,青岛,5.0,10.0,,
梦里*,本科,上海,3.5,16.0,,焦虑型人格
🌈*,本科,深圳,3.0,42.0,,
deno*,大专,深圳,7.0,18.0,,
Barr*,本科,贵阳,3.5,7.0,,
素质*,本科,上海,5.0,20.0,,
吃瓜*,本科,深圳,5.5,17.0,,
禾明*,本科,北京,0.0,,2026,
ward*,本科,深圳,0.5,13.0,,
梦*,大专,深圳,2.5,18.0,,
Lesl*,大专,广州,1.0,12.0,,
Allen*,大专,嘉兴,5.5,20.0,,前端负责人，短剧头部
「从*,本科,南京,5.5,14.0,,
片刻*,,广州,5.0,13.0,,
嚣张*,大专,武汉,6.0,15.0,,
after*,本科,深圳,7.0,32.0,,
与光*,大专,北京,3.5,11.0,,
熙男*,初中,深圳,7.0,25.0,,半居家
忆,本科,重庆,1.5,7.0,,
Active*,本科,北京,2.0,13.0,,
骑车*,本科,南京,5.5,20.0,,
呆小*,本科,北京,3.0,21.0,,
h*,本科,上海,3.0,15.0,,
解离*,本科,,,,2026,
Rober*,硕士,深圳,4.5,32.0,,实时音视频
玫瑰*,本科,成都,3.0,8.5,,
小奥*,本科,上海,5.0,18.0,,
一点*,大专,杭州,3.0,9.5,,
做就*,大专,广州,7.0,18.0,,
遥望*,本科,上海,3.0,10.0,,
A🐔*,大专,北京,3.5,15.5,,webgis
无畏*,大专,成都,4.0,9.0,,
天天*,大专,泉州,5.0,9.0,,
Ben*,本科,北京,3.0,14.0,,
数学*,大专,成都,4.5,13.0,,自考本
烟*,大专,杭州,5.5,19.0,,专升本
南浔*,本科,北京,4.0,24.0,,
发发*,本科,杭州,6.0,17.5,,
别烦*,本科,广州,4.0,14.5,,
箴言*,本科,宁波,3.0,11.0,,制造业，python
只是*,本科,南宁,4.0,10.0,,
永*,本科,杭州,5.0,16.5,,
htf*,高中,,,,,
烟梦*,本科,深圳,0.0,14.0,2026,
一个*,本科,北京,3.0,12.0,,
Ai En*,本科,上海,2.5,18.0,,
P*,本科,杭州,6.0,50.0,,
未来*,大专,成都,7.0,23.0,,
Ben*,本科,北京,3.0,14.0,,
别烦*,本科,广州,4.0,14.0,,
吼吼*,大专,成都,5.0,13.0,,
晚睡*,本科,郑州,5.0,15.0,,
想养*,本科,北京,4.5,17.0,,
乌龟*,本科,武汉,2.0,12.0,,
阿轩*,大专,武汉,0.0,,2026,
qzuse*,本科,北京,0.0,,2026,
就止*,大专,上海,2.0,15.5,,专升本，大厂实习
飘向*,硕士,北京,0.0,20.0,2026,中厂实习，桌面端应用，通信工具
梦里*,本科,上海,3.5,16.0,,
姝*,本科,鹤壁,10.0,5.0,,
Jie*,本科,成都,5.5,20.0,,
聪聪*,高中,北京,6.0,19.0,,自考本，空窗期1年
Bear*,高中,成都,8.0,10.0,,
爱喝*,本科,合肥,5.0,9.0,,
...*,大专,成都,5.0,10.0,,专升本
洛*,大专,深圳,2.0,10.0,,
青江*,大专,成都,0.5,7.0,,
鱼子*,硕士,上海,6.0,42.0,,
全占*,高中,成都,7.0,28.0,,自考本，web3
噔噔*,本科,成都,4.5,24.2,,
用户*,初中,济南,9.0,16.7,,
吉吉*,高中,北京,4.5,28.0,,自考本
www*,大专,北京,0.0,7.0,2026,
亦一*,大专,成都,3.5,7.8,,自考本
之梦*,本科,郑州,4.0,27.0,,
初*,本科,柳州,5.5,14.0,,前端Leader
不一*,大专,包头,4.0,6.0,,
东东*,本科,宁波,4.0,11.0,,
隐衫*,本科,杭州,,,,
Shot*,本科,东莞,2.5,8.0,,
听雨*,本科,广州,0.5,7.0,,
一个*,本科,杭州,3.0,18.8,,离职回南昌
Ember*,本科,成都,3.0,7.5,,
已明*,本科,上海,5.0,25.0,,
怎*,本科,杭州,5.0,15.0,,
Xxx*,本科,上海,6.0,21.5,,
元*,本科,深圳,0.0,,2026,
顾*,大专,东莞,1.0,7.5,,
了*,本科,郑州,7.0,10.0,,
JIN*,大专,杭州,4.0,10.0,,
zl-*,本科,深圳,9.0,50.0,,
苏苏*,大专,郑州,6.0,15.0,,
Ember*,本科,成都,3.0,7.5,,
蝶*,本科,深圳,0.0,,2027,
Barf*,本科,杭州,0.0,,2026,
丁丁*,本科,北京,7.0,20.0,,
积极*,本科,北京,6.0,18.0,,
已明*,本科,上海,5.0,25.0,,
皮卡丘*,大专,长沙,0.0,,2026,
哈哈*,本科,深圳,5.0,24.0,,
李悠*,本科,北京,4.5,11.0,,
pk*,本科,,0.0,,2026,
yf*,本科,成都,4.5,16.0,,
Sve*,本科,杭州,1.5,13.5,,外包
妖*,大专,上海,3.0,13.0,,离职
陌生*,本科,南京,7.5,16.0,,
linco*,本科,成都,8.0,10.0,,
O*,大专,武汉,2.0,8.0,,
牧*,本科,杭州,,,,
R*,本科,深圳,1.0,15.0,,
Zea*,大专,成都,3.5,9.0,,自考本
海贼*,本科,,0.0,,2027,
Bet*,本科,北京,4.0,22.0,,全栈
brib*,大专,广州,4.0,12.0,,离职
白菜*,大专,郑州,9.0,10.0,,
岁月*,本科,南京,5.0,10.0,,
克林*,本科,南京,6.0,18.0,,外包
nea*,本科,上海,10.0,30.0,,外包
不叫*,本科,长沙,0.0,,2027,
没什*,大专,杭州,10.0,30.0,,离职
八*,本科,成都,0.0,,2027,
tia*,本科,重庆,1.0,8.0,,
xy*,本科,北京,0.0,,2026,
,本科,深圳,1.0,7.5,,
傅*,本科,广州,6.0,11.0,,
unde*,大专,上海,7.5,21.0,,
执念*,中专,上海,8.0,16.0,,gap1年
大前*,本科,北京,0.0,,2028,
哈哈*,大专,南京,8.0,14.0,,被裁
一起*,大专,北京,4.0,19.5,,
叉*,本科,成都,5.0,14.0,,离职
null*,本科,苏州,3.0,20.0,,全栈，离职
Dom*,大专,长沙,0.0,,2027,
Odys*,本科,深圳,2.0,10.0,,
向阳*,大专,成都,5.0,9.0,,
Hsu*,大专,北京,6.0,18.0,,
yM9*,大专,北京,0.0,,2026,医生
骑*,本科,北京,3.0,10.0,,
一程*,本科,杭州,0.0,,,大模型开发，考研2年
坦然*,本科,河北,0.0,,2027,
好*,硕士,深圳,0.0,,2027,
羽*,大专,杭州,9.0,16.0,,
Stru*,本科,北京,6.0,23.0,,
肠包*,,,0.0,,2026,
hul*,本科,北京,4.0,18.0,,
java*,本科,成都,2.0,9.0,,
合肥*,初中,合肥,7.0,9.5,,
阿*,本科,南京,1.5,16.7,,
No*,本科,福州,5.0,25.0,,
Alan*,本科,杭州,0.0,33.3,2026,AI 全栈
ads*,本科,上海,3.0,12.0,,
萧*,大专,南京,6.0,15.0,,小米外包
抽象*,本科,深圳,1.0,15.0,,
Kyr*,高中,北京,7.0,17.0,,外包
用户*,本科,深圳,10.0,15.0,,离职
八贰*,本科,北京,2.0,22.0,,
Deep*,本科,,0.0,,2027,
年*,大专,长沙,0.0,,2026,
北宇*,本科,,0.0,,2027,腾讯实习
洗洗*,大专,苏州,5.0,15.0,,外包
76k*,大专,鄂州,1.0,12.0,,回老家，少儿编程（6k）
Lind*,本科,杭州,7.0,16.0,,
画画*,大专,上海,5.0,11.0,,
坐看*,大专,长沙,5.0,13.0,,
啧啧*,大专,成都,2.0,10.0,,
学点*,高中,广州,0.0,,,待业
阿炜*,本科,南京,1.5,20.0,,
今日*,大专,江西,0.0,,2026,
渣en*,大专,宁波,1.0,8.0,,
朵儿*,本科,北京,9.0,19.0,,外包
楠*,大专,广州,2.0,8.0,,
方*,大专,成都,0.5,3.3,,实习
知夏*,本科,广州,0.0,,2027,腾讯实习
荔枝*,大专,广州,8.0,18.3,,
幻梦*,本科,深圳,3.0,9.0,,
翻身*,大专,深圳,6.0,17.0,,
xiao*,大专,北京,2.5,14.0,,
刺*,本科,杭州,4.0,15.0,,
迪*,大专,哈尔滨,0.0,,2027,
lu*,本科,深圳,1.0,14.0,,
管先*,大专,重庆,7.0,17.5,,
SH*,本科,深圳,5.0,19.0,,
不打*,硕士,广州,0.0,,2027,后端实习
一口,本科,南京,5.0,17.0,,
匿名*,大专,北京,5.0,19.0,,
干饭*,本科,深圳,3.5,17.0,,
流*,大专,广州,2.0,4.5,,
梦中*,本科,宁波,3.0,15.0,,
擒贼*,高中,上海,7.0,20.0,,
刺*,本科,杭州,4.0,15.0,,
45度*,本科,上海,5.0,16.0,,
1008*,硕士,北京,7.0,42.0,,
香菇*,大专,北京,3.0,13.0,,
巧可*,大专,,0.0,,,日本留学 旅游管理 24岁
随心*,大专,北京,2.0,10.0,,
wate*,本科,深圳,11.0,18.0,,
叉*,大专,成都,6.0,14.0,,有空窗期
哈哈*,硕士,上海,4.0,25.0,,
fan*,大专,杭州,5.0,12.0,,
一个*,本科,杭州,3.0,18.8,,
看我*,本科,北京,0.0,25.0,2026,大厂
A🐔*,大专,北京,4.0,15.5,,
就止*,本科,上海,2.0,15.0,,
企鹅*,本科,,0.0,,2027,
是风*,大专,杭州,4.0,12.0,,
小葵*,本科,西安,6.0,20.0,,大厂外包
种花*,本科,南京,4.0,12.0,,
软萌*,初中,北京,9.5,26.0,,
躲猫*,本科,北京,7.0,20.0,,
Qiu*,大专,上海,7.0,27.0,,
颜*,大专,北京,6.0,19.0,,
V*,本科,成都,6.0,12.0,,
叛逆*,大专,杭州,4.0,5.5,,
煜坤*,本科,成都,8.0,18.0,,外包
Jay*,本科,北京,8.0,30.0,,
张*,本科,杭州,1.5,20.0,,
☁️*,初中,成都,6.0,11.5,,
杰*,本科,长沙,9.0,14.0,,
她不*,大专,南京,3.0,12.0,,军工外包
要一*,高中,上海,2.0,10.0,,
暮行*,本科,长沙,0.0,,2028,
Star*,本科,上海,10.0,35.0,,
智哥*,高中,上海,9.0,30.0,,Agents开发，仿真系统
云先*,本科,重庆,0.0,5.0,2026,
xy*,本科,天津,0.0,5.0,2026,
小白*,大专,深圳,11.0,26.0,,工业互联网
萌*,本科,杭州,6.0,16.0,,
Jum*,大专,长沙,1.0,6.0,,
草*,大专,武汉,5.0,12.0,,
